t_p	t_off	vol_flow	p_control	gamma_global	gamma_local[0]	gamma_local[1]	gamma_local[2]	gamma_local[3]	gamma_local[4]	gamma_local[5]	gamma_local[6]	gamma_local[7]
0.019000000000000003	0.019000000000000003	59.75936255912219	0.6616551190321337	0.8371051546391751	0.9888	0.9934	0.9302	0.9864	0.9732	0.753	0.684	0.7424
0.019000000000000003	0.021	59.88189871147394	0.7060001456611594	0.8411577319587629	0.993	0.9888	0.9532	0.9858	0.972	0.7726	0.6816	0.7338
0.019000000000000003	0.023	59.682163434110265	0.7576591417838132	0.8450855670103093	0.9966	0.9906	0.9558	0.9852	0.9756	0.7892	0.6886	0.7172
0.019000000000000003	0.025	59.78132716956627	0.808196060001494	0.8369546391752577	0.9904	0.9894	0.955	0.9818	0.9674	0.7764	0.6732	0.7144
0.021	0.001	59.82591347382144	0.34784769255678955	0.7146134020618555	0.9998	0.996	0.932	0.9608	0.8794	0.5586	0.4192	0.641
0.021	0.003	59.59446529216652	0.3539197573314847	0.7344154639175258	1.0	0.9954	0.9196	0.9738	0.9236	0.5908	0.4534	0.65
0.021	0.005	60.14791509440938	0.38018807620452	0.7561608247422681	0.9996	0.9956	0.9534	0.9734	0.945	0.5966	0.512	0.6576
0.021	0.007	59.816969866267584	0.4069432138516913	0.7589278350515464	0.9966	0.9964	0.9498	0.975	0.939	0.5882	0.5332	0.6584
0.021	0.009000000000000001	59.71226855327695	0.4391242104559957	0.7737484536082473	0.9978	0.995	0.9526	0.9768	0.9478	0.6088	0.5584	0.6916
0.021	0.011	59.71535239148621	0.47407540778703666	0.7945969072164948	0.9942	0.9956	0.9572	0.9852	0.9678	0.641	0.6034	0.698
0.021	0.013000000000000001	59.830524153916144	0.5093797364845445	0.8097731958762886	0.997	0.995	0.9678	0.983	0.965	0.684	0.6294	0.7002
0.021	0.015	59.59413833871689	0.5474514487341697	0.8197288659793814	0.9972	0.9958	0.948	0.9858	0.9714	0.7032	0.6508	0.7206
0.021	0.017	59.74159120620179	0.5887833971461914	0.8226907216494845	0.9976	0.9924	0.9546	0.9872	0.9724	0.7188	0.6512	0.7148
0.021	0.019000000000000003	59.69865554110196	0.6231059899176292	0.8374360824742267	0.9952	0.993	0.9636	0.9848	0.9752	0.7468	0.6858	0.7172
0.021	0.021	59.527300150784484	0.6628334476411333	0.8360917525773195	0.9956	0.9932	0.937	0.9876	0.9726	0.7638	0.6816	0.7098
0.021	0.023	59.76751417659218	0.7111651451580878	0.8403206185567009	0.9936	0.9918	0.9584	0.9882	0.9764	0.7656	0.6862	0.7132
0.021	0.025	59.83004800720123	0.7564248485260102	0.8313185567010308	0.987	0.9886	0.9234	0.9796	0.968	0.7558	0.6776	0.7218
0.023	0.001	59.65682294830836	0.336615362269648	0.7026896907216493	1.0	0.9952	0.9254	0.9618	0.8928	0.5228	0.4144	0.5962
0.023	0.003	60.06484032538367	0.3505485231602445	0.7359938144329897	0.9998	0.9948	0.9264	0.967	0.9148	0.6002	0.469	0.6226
0.023	0.005	59.73396176120816	0.37346109647393455	0.7413907216494845	0.9996	0.9962	0.9388	0.9708	0.9274	0.5814	0.48	0.6514
0.023	0.007	59.52830164396482	0.39995782939557245	0.7648371134020618	0.997	0.9932	0.9454	0.975	0.936	0.5974	0.5522	0.6646
0.023	0.009000000000000001	59.934685835809994	0.4332934606169899	0.7685329896907215	0.9992	0.9966	0.9602	0.9754	0.9454	0.5952	0.5438	0.6936
