t_p	t_off	vol_flow	p_control	gamma_global	gamma_local[0]	gamma_local[1]	gamma_local[2]	gamma_local[3]	gamma_local[4]	gamma_local[5]	gamma_local[6]	gamma_local[7]
0.007	0.008	59.66573005105545	0.6387627189287983	0.8606773195876288	0.993	0.9966	0.937	0.9908	0.9872	0.7754	0.7668	0.7074
0.007	0.009000000000000001	59.74090238113398	0.6894132600521963	0.8816721649484536	0.9994	0.996	0.962	0.9864	0.9834	0.8088	0.8072	0.7352
0.007	0.01	59.83001150261214	0.7458059158831448	0.8894278350515463	0.9978	0.9964	0.9154	0.9938	0.9888	0.8382	0.8308	0.7362
0.007	0.011	59.85773906704641	0.801545060004235	0.8940123711340204	0.9996	0.9958	0.9738	0.9924	0.988	0.8364	0.8326	0.7238
0.007	0.012	59.61058600569089	0.8669890047489379	0.9026556701030928	0.9984	0.9942	0.9666	0.992	0.9904	0.843	0.8594	0.7394
0.007	0.013000000000000001	59.72530066682806	0.9541484904901922	0.9042309278350515	0.9986	0.9948	0.967	0.995	0.9902	0.8608	0.8616	0.7148
0.007	0.013999999999999999	60.07361728261604	1.1981799002839622	0.9111649484536083	0.9978	0.9942	0.9496	0.9948	0.9944	0.872	0.8724	0.7492
0.007	0.015	60.13485123697005	1.1373888655333104	0.9017752577319587	0.9984	0.9958	0.9622	0.9932	0.9912	0.8614	0.8354	0.7542
0.007	0.016	59.55818932250726	1.1759897041407406	0.8909134020618555	0.995	0.9948	0.956	0.9924	0.9896	0.836	0.8218	0.7386
0.007	0.017	59.86810635111857	1.2434200078494022	0.8881958762886597	0.9958	0.994	0.9534	0.9952	0.994	0.838	0.8246	0.6998
0.007	0.018	59.662281167829164	1.4875543694721478	0.8937762886597937	0.9954	0.9884	0.9496	0.9932	0.9944	0.852	0.8314	0.7228
0.007	0.019	60.151778224591936	1.3872643538116711	0.8883721649484537	0.9954	0.9896	0.9732	0.9908	0.9928	0.8564	0.8042	0.7064
